count,judge,statute,judge_total,stat_totals
331,T_MCCORMICK,2913.48,1,39
332,T_MCCORMICK,2913.49,34,908
333,T_MCCORMICK,2913.51,105,3905
334,T_MCCORMICK,2915.02,0,25
335,T_MCCORMICK,2917.01,0,24
336,T_MCCORMICK,2917.02,0,55
337,T_MCCORMICK,2917.11,7,150
338,T_MCCORMICK,2917.21,17,504
339,T_MCCORMICK,2917.211,0,0
340,T_MCCORMICK,2917.31,3,97
341,T_MCCORMICK,2919.01,0,0
342,T_MCCORMICK,2919.10,0,0
343,T_MCCORMICK,2919.22,77,2274
344,T_MCCORMICK,2919.21,51,1023
345,T_MCCORMICK,2919.23,1,42
346,T_MCCORMICK,2919.25,233,7190
347,T_MCCORMICK,2919.27,13,423
348,T_MCCORMICK,2921.02,0,43
349,T_MCCORMICK,2921.03,1,66
350,T_MCCORMICK,2921.04,21,672
351,T_MCCORMICK,2921.11,1,8
352,T_MCCORMICK,2921.12,64,1916
353,T_MCCORMICK,2921.31,35,1161
354,T_MCCORMICK,2921.32,4,192
355,T_MCCORMICK,2921.33,85,2511
356,T_MCCORMICK,2921.34,46,1760
357,T_MCCORMICK,2921.36,13,514
358,T_MCCORMICK,2921.38,4,263
359,T_MCCORMICK,2921.41,1,31
360,T_MCCORMICK,2921.44,0,2
361,T_MCCORMICK,2921.45,0,2
362,T_MCCORMICK,2923.01,1,18
363,T_MCCORMICK,2923.02,0,2
364,T_MCCORMICK,2923.12,138,4548
365,T_MCCORMICK,2923.13,126,4605
366,T_MCCORMICK,2923.15,8,170
367,T_MCCORMICK,2923.20,1,150
368,T_MCCORMICK,2923.24,283,8509
369,T_MCCORMICK,2923.32,0,14
370,T_MCCORMICK,2923.42,1,53
371,T_MCCORMICK,2925.03,267,8016
372,T_MCCORMICK,2925.04,6,158
373,T_MCCORMICK,2925.06,0,0
374,T_MCCORMICK,2925.11,415,14050
375,T_MCCORMICK,2925.23,6,263
376,T_MCCORMICK,2927.01,1,29
377,T_MCCORMICK,2927.03,0,0
378,T_MCCORMICK,2927.12,0,29
379,T_MCCORMICK,2950.06,20,755
380,T_MCCORMICK,2963.24,0,2
381,JA_VILLANUEVA,2903.02,11,812
382,JA_VILLANUEVA,2903.03,0,45
383,JA_VILLANUEVA,2903.04,1,183
384,JA_VILLANUEVA,2903.041,0,17
385,JA_VILLANUEVA,2903.05,0,5
386,JA_VILLANUEVA,2903.06,2,99
387,JA_VILLANUEVA,2903.08,8,367
388,JA_VILLANUEVA,2903.09,0,0
389,JA_VILLANUEVA,2903.11,139,6639
390,JA_VILLANUEVA,2903.13,88,3694
391,JA_VILLANUEVA,2903.21,63,2701
392,JA_VILLANUEVA,2905.01,114,4582
393,JA_VILLANUEVA,2905.02,30,1706
394,JA_VILLANUEVA,2950.05,19,944
395,JA_VILLANUEVA,2907.02,24,1561
396,JA_VILLANUEVA,2907.03,7,425
397,JA_VILLANUEVA,2907.04,9,430
398,JA_VILLANUEVA,2907.05,26,1253
399,JA_VILLANUEVA,2907.06,2,91
400,JA_VILLANUEVA,2907.07,4,187
401,JA_VILLANUEVA,2907.08,0,17
402,JA_VILLANUEVA,2907.09,1,51
403,JA_VILLANUEVA,2907.19,0,1
404,JA_VILLANUEVA,2907.21,0,38
405,JA_VILLANUEVA,2907.22,1,57
406,JA_VILLANUEVA,2907.31,4,164
407,JA_VILLANUEVA,2907.311,0,1
408,JA_VILLANUEVA,2907.32,2,304
409,JA_VILLANUEVA,2907.321,0,7
410,JA_VILLANUEVA,2907.322,1,249
411,JA_VILLANUEVA,2907.323,1,217
412,JA_VILLANUEVA,2909.02,7,196
413,JA_VILLANUEVA,2909.03,2,135
414,JA_VILLANUEVA,2909.04,24,1082
415,JA_VILLANUEVA,2909.05,57,1585
416,JA_VILLANUEVA,2909.06,66,2885
417,JA_VILLANUEVA,2909.09,0,4
418,JA_VILLANUEVA,2909.22,0,0
419,JA_VILLANUEVA,2909.23,0,6
420,JA_VILLANUEVA,2909.24,0,1
421,JA_VILLANUEVA,2909.26,0,0
422,JA_VILLANUEVA,2909.27,0,1
423,JA_VILLANUEVA,2913.02,268,11775
424,JA_VILLANUEVA,2913.03,9,759
425,JA_VILLANUEVA,2911.01,33,1999
426,JA_VILLANUEVA,2911.02,57,2966
427,JA_VILLANUEVA,2911.11,34,1355
428,JA_VILLANUEVA,2911.12,118,4536
429,JA_VILLANUEVA,2911.13,48,1953
430,JA_VILLANUEVA,2913.07,0,0
431,JA_VILLANUEVA,2913.04,0,107
432,JA_VILLANUEVA,2903.11,139,6639
433,JA_VILLANUEVA,2903.12,35,1765
434,JA_VILLANUEVA,2911.21,9,459
435,JA_VILLANUEVA,2913.05,6,318
436,JA_VILLANUEVA,2903.13,88,3694
437,JA_VILLANUEVA,2903.21,63,2701
438,JA_VILLANUEVA,2903.211,19,759
439,JA_VILLANUEVA,2903.31,0,0
440,JA_VILLANUEVA,2903.32,0,0
441,JA_VILLANUEVA,4511.19,0,0
442,JA_VILLANUEVA,2905.11,0,35
443,JA_VILLANUEVA,2905.32,0,10
444,JA_VILLANUEVA,2907.09,1,51
445,JA_VILLANUEVA,2909.02,7,196
446,JA_VILLANUEVA,2919.21,15,1023
447,JA_VILLANUEVA,2913.11,5,334
448,JA_VILLANUEVA,2913.21,17,837
449,JA_VILLANUEVA,2913.30,0,0
450,JA_VILLANUEVA,2913.31,49,1804
451,JA_VILLANUEVA,2913.40,0,4
452,JA_VILLANUEVA,2913.401,0,1
453,JA_VILLANUEVA,2913.42,18,1020
454,JA_VILLANUEVA,2913.421,0,0
455,JA_VILLANUEVA,2913.44,0,2
456,JA_VILLANUEVA,2913.46,6,323
457,JA_VILLANUEVA,2913.47,0,34
458,JA_VILLANUEVA,2913.48,0,39
459,JA_VILLANUEVA,2913.49,22,908
460,JA_VILLANUEVA,2913.51,76,3905
461,JA_VILLANUEVA,2915.02,0,25
462,JA_VILLANUEVA,2917.01,0,24
463,JA_VILLANUEVA,2917.02,0,55
464,JA_VILLANUEVA,2917.11,0,150
465,JA_VILLANUEVA,2917.21,12,504
466,JA_VILLANUEVA,2917.211,0,0
467,JA_VILLANUEVA,2917.31,4,97
468,JA_VILLANUEVA,2919.01,0,0
469,JA_VILLANUEVA,2919.10,0,0
470,JA_VILLANUEVA,2919.22,35,2274
471,JA_VILLANUEVA,2919.21,15,1023
472,JA_VILLANUEVA,2919.23,1,42
473,JA_VILLANUEVA,2919.25,157,7190
474,JA_VILLANUEVA,2919.27,15,423
475,JA_VILLANUEVA,2921.02,0,43
476,JA_VILLANUEVA,2921.03,2,66
477,JA_VILLANUEVA,2921.04,19,672
478,JA_VILLANUEVA,2921.11,0,8
479,JA_VILLANUEVA,2921.12,40,1916
480,JA_VILLANUEVA,2921.31,17,1161
481,JA_VILLANUEVA,2921.32,3,192
482,JA_VILLANUEVA,2921.33,43,2511
483,JA_VILLANUEVA,2921.34,30,1760
484,JA_VILLANUEVA,2921.36,11,514
485,JA_VILLANUEVA,2921.38,5,263
486,JA_VILLANUEVA,2921.41,0,31
487,JA_VILLANUEVA,2921.44,0,2
488,JA_VILLANUEVA,2921.45,0,2
489,JA_VILLANUEVA,2923.01,0,18
490,JA_VILLANUEVA,2923.02,0,2
491,JA_VILLANUEVA,2923.12,72,4548
492,JA_VILLANUEVA,2923.13,85,4605
493,JA_VILLANUEVA,2923.15,2,170
494,JA_VILLANUEVA,2923.20,0,150
495,JA_VILLANUEVA,2923.24,164,8509
496,JA_VILLANUEVA,2923.32,0,14
497,JA_VILLANUEVA,2923.42,0,53
498,JA_VILLANUEVA,2925.03,138,8016
499,JA_VILLANUEVA,2925.04,5,158
500,JA_VILLANUEVA,2925.06,0,0
501,JA_VILLANUEVA,2925.11,244,14050
502,JA_VILLANUEVA,2925.23,6,263
503,JA_VILLANUEVA,2927.01,0,29
504,JA_VILLANUEVA,2927.03,0,0
505,JA_VILLANUEVA,2927.12,1,29
506,JA_VILLANUEVA,2950.06,23,755
507,JA_VILLANUEVA,2963.24,0,2
508,R_SUSTER,2903.02,10,812
509,R_SUSTER,2903.03,0,45
510,R_SUSTER,2903.04,1,183
511,R_SUSTER,2903.041,0,17
512,R_SUSTER,2903.05,0,5
513,R_SUSTER,2903.06,0,99
514,R_SUSTER,2903.08,2,367
515,R_SUSTER,2903.09,0,0
516,R_SUSTER,2903.11,79,6639
517,R_SUSTER,2903.13,40,3694
518,R_SUSTER,2903.21,41,2701
519,R_SUSTER,2905.01,66,4582
520,R_SUSTER,2905.02,11,1706
521,R_SUSTER,2950.05,8,944
522,R_SUSTER,2907.02,10,1561
523,R_SUSTER,2907.03,1,425
524,R_SUSTER,2907.04,5,430
525,R_SUSTER,2907.05,9,1253
526,R_SUSTER,2907.06,0,91
527,R_SUSTER,2907.07,2,187
528,R_SUSTER,2907.08,1,17
529,R_SUSTER,2907.09,0,51
530,R_SUSTER,2907.19,0,1
531,R_SUSTER,2907.21,0,38
532,R_SUSTER,2907.22,1,57
533,R_SUSTER,2907.31,1,164
534,R_SUSTER,2907.311,0,1
535,R_SUSTER,2907.32,0,304
536,R_SUSTER,2907.321,0,7
537,R_SUSTER,2907.322,0,249
538,R_SUSTER,2907.323,0,217
539,R_SUSTER,2909.02,3,196
540,R_SUSTER,2909.03,2,135
541,R_SUSTER,2909.04,13,1082
542,R_SUSTER,2909.05,12,1585
543,R_SUSTER,2909.06,31,2885
544,R_SUSTER,2909.09,0,4
545,R_SUSTER,2909.22,0,0
546,R_SUSTER,2909.23,0,6
547,R_SUSTER,2909.24,0,1
548,R_SUSTER,2909.26,0,0
549,R_SUSTER,2909.27,0,1
550,R_SUSTER,2913.02,122,11775
551,R_SUSTER,2913.03,4,759
552,R_SUSTER,2911.01,20,1999
553,R_SUSTER,2911.02,36,2966
554,R_SUSTER,2911.11,18,1355
555,R_SUSTER,2911.12,54,4536
556,R_SUSTER,2911.13,16,1953
557,R_SUSTER,2913.07,0,0
558,R_SUSTER,2913.04,2,107
559,R_SUSTER,2903.11,79,6639
560,R_SUSTER,2903.12,18,1765
561,R_SUSTER,2911.21,1,459
562,R_SUSTER,2913.05,3,318
563,R_SUSTER,2903.13,40,3694
564,R_SUSTER,2903.21,41,2701
565,R_SUSTER,2903.211,14,759
566,R_SUSTER,2903.31,0,0
567,R_SUSTER,2903.32,0,0
568,R_SUSTER,4511.19,0,0
569,R_SUSTER,2905.11,1,35
570,R_SUSTER,2905.32,0,10
571,R_SUSTER,2907.09,0,51
572,R_SUSTER,2909.02,3,196
573,R_SUSTER,2919.21,12,1023
574,R_SUSTER,2913.11,4,334
575,R_SUSTER,2913.21,12,837
576,R_SUSTER,2913.30,0,0
577,R_SUSTER,2913.31,24,1804
578,R_SUSTER,2913.40,0,4
579,R_SUSTER,2913.401,0,1
580,R_SUSTER,2913.42,12,1020
581,R_SUSTER,2913.421,0,0
582,R_SUSTER,2913.44,0,2
583,R_SUSTER,2913.46,5,323
584,R_SUSTER,2913.47,0,34
585,R_SUSTER,2913.48,1,39
586,R_SUSTER,2913.49,7,908
587,R_SUSTER,2913.51,41,3905
588,R_SUSTER,2915.02,0,25
589,R_SUSTER,2917.01,0,24
590,R_SUSTER,2917.02,1,55
591,R_SUSTER,2917.11,2,150
592,R_SUSTER,2917.21,8,504
593,R_SUSTER,2917.211,0,0
594,R_SUSTER,2917.31,1,97
595,R_SUSTER,2919.01,0,0
596,R_SUSTER,2919.10,0,0
597,R_SUSTER,2919.22,18,2274
598,R_SUSTER,2919.21,12,1023
599,R_SUSTER,2919.23,0,42
600,R_SUSTER,2919.25,79,7190
601,R_SUSTER,2919.27,5,423
602,R_SUSTER,2921.02,1,43
603,R_SUSTER,2921.03,1,66
604,R_SUSTER,2921.04,14,672
